"id","elevation_m","slope_deg","cos_aspect","cti","ndvi"
1,220.4517517,24.93153954,0.627550891,3.133244038,0.43902439
2,224.3224945,22.9335804,0.053975514,3.111529112,0.41975309
3,226.7225037,17.96809006,0.229320561,2.550966024,0.34210526
4,206.590744,22.55441093,0.434740972,3.808413029,0.46511628
5,209.8817444,22.81662941,-0.825160375,3.532213926,0.44705882
6,213.786499,22.39718056,-0.162051887,3.455760956,0.39506173
7,217.5687561,19.98652077,-0.561054822,2.985537052,0.33757962
8,220.0590057,15.63500977,0.885036142,2.58237195,0.31081081
9,222.2002563,9.196777344,-0.414693848,2.415050983,0.32394366
10,222.119751,5.714766979,-0.43325718,2.888741016,0.33333333
11,217.9562531,15.20491982,0.431779107,1.890207052,0.27819549
12,208.4552612,19.97969055,-0.629989062,2.280054092,0.2
13,199.4577484,18.02288055,0.91827048,3.845304966,0.21167883
14,193.3049927,16.69860077,0.628433155,3.165638924,0.26618705
15,193.7890015,24.02806091,0.58051021,4.030473232,0.45454545
16,197.1004944,23.60910988,0.093709305,4.143295765,0.50282486
17,200.7059937,23.23987961,-0.528806805,4.331665993,0.45251397
18,204.6337433,22.82168007,0.682221221,3.22765708,0.39181287
19,209.0867615,21.36273956,-0.900229976,2.951845884,0.39285714
20,213.1222534,18.59983063,-0.12551654,2.587304115,0.34177215
21,216.928009,14.5536499,0.905261382,1.938750982,0.25352113
22,219.7057495,8.178339005,0.431885195,2.527339935,0.28671329
23,218.0257568,10.55648994,-0.95138004,2.324913979,0.29655172
24,210.5335083,15.96308994,0.582062722,2.527990103,0.25714286
25,203.6812439,15.17673969,0.184871247,2.759143114,0.29496403
26,198.6159973,14.32641029,-0.546273707,2.649518967,0.30935252
27,193.7115021,13.96430016,-0.669813871,2.655831099,0.2
28,189.7975006,14.69034958,0.367325177,2.687843084,0.15328467
29,183.4389954,16.69041061,-0.144319029,1.954383016,0.13286713
30,175.4799957,16.23506927,0.800760132,2.506923914,0.15942029
31,168.8430023,13.13885975,0.999413544,3.724387884,0.20588235
32,164.1382446,9.59295845,0.215083382,2.477896929,0.25974026
33,160.8412476,7.001251221,0.044249955,2.930252075,0.37704918
34,182.2962494,23.50078964,-0.065633342,4.460138798,0.43678161
35,185.8762512,24.64440918,0.26405594,4.12870121,0.46820809
36,189.8590088,24.95227051,-0.909575711,4.732082844,0.40449438
37,194.3495026,25.02072906,0.863735599,3.156898975,0.35555556
38,199.5309906,24.4251194,0.077032293,3.02046895,0.38121547
39,205.1334991,22.48781013,-0.668331708,2.146267891,0.32515337
40,210.4872437,19.34733009,0.032343941,2.624732971,0.22147651
41,215.0325012,13.61754036,0.906075455,2.008685112,0.23178808
42,215.2267456,9.449228287,-0.86694832,2.357229948,0.29333333
