"x1","x2","lnEM1m","lnEM05m"
307754.460180516,4602171.01350818,3.96368396470432,4.8455900215572
307779.460180516,4602171.01350818,3.96438377178805,4.84483761222068
307679.460180516,4602196.01350818,3.92193108073808,4.83982353351528
307704.460180516,4602196.01350818,3.94512790257775,4.8422253180966
307729.460180516,4602196.01350818,3.95908295585215,4.8444764619364
307754.460180516,4602196.01350818,3.96005368992525,4.84345054129768
307779.460180516,4602196.01350818,3.89440680984948,4.82474490675907
307804.460180516,4602196.01350818,3.89394914398817,4.823675541898
307579.460180516,4602221.01350818,3.96552988633934,4.86262950619512
307604.460180516,4602221.01350818,3.94463546038854,4.85748537112071
307629.460180516,4602221.01350818,3.93092170343887,4.84865363361185
307654.460180516,4602221.01350818,3.91742897638554,4.84031708246911
307679.460180516,4602221.01350818,3.9405698857003,4.84212363470959
307704.460180516,4602221.01350818,3.95196529139141,4.84268575221749
307729.460180516,4602221.01350818,3.95335799545916,4.84128952788278
307754.460180516,4602221.01350818,3.89218089533905,4.82393852923788
307779.460180516,4602221.01350818,3.85533573635592,4.81318096575908
307804.460180516,4602221.01350818,3.83480975820029,4.80859346362817
307504.460180516,4602246.01350818,3.98418690062249,4.86042720500654
307529.460180516,4602246.01350818,3.99104606375736,4.86524353875142
307554.460180516,4602246.01350818,3.98966103993257,4.86782159150443
307579.460180516,4602246.01350818,3.96835286179304,4.86677371341824
307604.460180516,4602246.01350818,3.94813232598866,4.85985082523686
307629.460180516,4602246.01350818,3.92668498541263,4.84644098473614
307654.460180516,4602246.01350818,3.93323414956876,4.84154118970107
307679.460180516,4602246.01350818,3.92913571329562,4.83637530220054
307704.460180516,4602246.01350818,3.92572959736785,4.83494281026375
307729.460180516,4602246.01350818,3.88809122248358,4.82221043699155
307754.460180516,4602246.01350818,3.83815210481502,4.80963665387758
307779.460180516,4602246.01350818,3.83477678789477,4.80774258077187
307804.460180516,4602246.01350818,3.81851125954883,4.80139111138201
307404.460180516,4602271.01350818,3.82819203864021,4.91712236931633
307429.460180516,4602271.01350818,3.83059863183826,4.89993092049777
307454.460180516,4602271.01350818,3.85529904841754,4.88211228455056
307479.460180516,4602271.01350818,3.8985122300332,4.866673581133
307504.460180516,4602271.01350818,3.99154015999054,4.85472497375721
307529.460180516,4602271.01350818,4.00929743114919,4.86290437648466
307554.460180516,4602271.01350818,3.9911045062137,4.86643096272156
307579.460180516,4602271.01350818,3.95918218124477,4.86892242023165
307604.460180516,4602271.01350818,3.93673036086842,4.85486443056715
307629.460180516,4602271.01350818,3.91948457362195,4.83908146321512
307654.460180516,4602271.01350818,3.91215171689206,4.83118789565666
307679.460180516,4602271.01350818,3.91385069239942,4.82890611200431
307704.460180516,4602271.01350818,3.87600116166656,4.81804025161603
307729.460180516,4602271.01350818,3.8373162353182,4.80770985888689
307754.460180516,4602271.01350818,3.83333985798514,4.80580936529756
307779.460180516,4602271.01350818,3.81742307197943,4.79953598880716
307804.460180516,4602271.01350818,3.81539473878752,4.79857489050012
307829.460180516,4602271.01350818,3.81422114365512,4.79801427147534
307329.460180516,4602296.01350818,3.90589291518187,4.95623302801972
307354.460180516,4602296.01350818,3.91338782100463,4.96148821023486
307379.460180516,4602296.01350818,3.81615081769994,4.94589260292477
307404.460180516,4602296.01350818,3.76849947979973,4.92062312667509
307429.460180516,4602296.01350818,3.79480837837968,4.9014505349034
307454.460180516,4602296.01350818,3.84461259135543,4.87889782195872
307479.460180516,4602296.01350818,3.90324756459175,4.85709593577351
307504.460180516,4602296.01350818,3.97489657468374,4.8398643969422
307529.460180516,4602296.01350818,4.0046279496114,4.84812797270409
307554.460180516,4602296.01350818,3.9772073541795,4.85153684227241
307579.460180516,4602296.01350818,3.87909366356017,4.83915612138374
307604.460180516,4602296.01350818,3.87768664555123,4.82391055771394
307629.460180516,4602296.01350818,3.87271615262236,4.81595936865047
307654.460180516,4602296.01350818,3.88492734179605,4.81861528696747
307679.460180516,4602296.01350818,3.85874860754459,4.81106549034936
307704.460180516,4602296.01350818,3.83255617039412,4.80335361071288
307729.460180516,4602296.01350818,3.8288815269537,4.80202432725461
307754.460180516,4602296.01350818,3.8140344555834,4.79619696983253
307779.460180516,4602296.01350818,3.81935801098737,4.79532951927707
307804.460180516,4602296.01350818,3.86284612213466,4.80500332735621
307829.460180516,4602296.01350818,3.81081614990211,4.78769002392805
307229.460180516,4602321.01350818,3.84968165707929,4.94371104422441
307254.460180516,4602321.01350818,3.85409903742213,4.94282434075087
307279.460180516,4602321.01350818,3.8494706059533,4.94370991753324
307304.460180516,4602321.01350818,3.82796033574385,4.93890845872337
307329.460180516,4602321.01350818,3.91267551420808,4.95264361224413
307354.460180516,4602321.01350818,3.88938072129284,4.95108973439701
307379.460180516,4602321.01350818,3.78518238378839,4.93565051683525
307404.460180516,4602321.01350818,3.69985748031091,4.92399516138967
307429.460180516,4602321.01350818,3.7746550523656,4.9070643962862
307454.460180516,4602321.01350818,3.8440128835101,4.87231834536249
307479.460180516,4602321.01350818,3.90827327818874,4.83453633522936
307504.460180516,4602321.01350818,3.94676356959374,4.82187684044701
307529.460180516,4602321.01350818,3.91821572734792,4.81081535065574
307554.460180516,4602321.01350818,3.90848170831392,4.8164302751951
307579.460180516,4602321.01350818,3.78405463652812,4.79860788960193
307604.460180516,4602321.01350818,3.790295087828,4.78908940858707
307629.460180516,4602321.01350818,3.82668520160741,4.79447383018774
307654.460180516,4602321.01350818,3.83083848660084,4.79348591227657
307679.460180516,4602321.01350818,3.82027148899384,4.79509663507246
307704.460180516,4602321.01350818,3.80351946151109,4.78812031457598
307729.460180516,4602321.01350818,3.83902167233884,4.79603329241159
307754.460180516,4602321.01350818,3.84138439984544,4.79637118192574
307779.460180516,4602321.01350818,3.81236681778447,4.78602670752916
307804.460180516,4602321.01350818,3.77705612477542,4.77023301265283
307829.460180516,4602321.01350818,3.7788197634358,4.77015572623078
307154.460180516,4602346.01350818,3.70739183761267,4.94251140452156
307179.460180516,4602346.01350818,3.76509425208914,4.93853283083932
307204.460180516,4602346.01350818,3.86296837169953,4.94066768264744
307229.460180516,4602346.01350818,3.8791678708583,4.95061330996305
307254.460180516,4602346.01350818,3.81848014945558,4.94104164537412
307279.460180516,4602346.01350818,3.77019996407948,4.93118521659439
307304.460180516,4602346.01350818,3.72613809208813,4.92271764520493
307329.460180516,4602346.01350818,3.91532523099667,4.96039227223875
307354.460180516,4602346.01350818,3.86357390161168,4.94352334569421
307379.460180516,4602346.01350818,3.75562934372838,4.92691105744624
307404.460180516,4602346.01350818,3.78323397850651,4.94588327432453
307429.460180516,4602346.01350818,3.84680194743373,4.93046877051397
307454.460180516,4602346.01350818,3.84708885073533,4.85864813033682
307479.460180516,4602346.01350818,3.89526763799255,4.80814746599724
307504.460180516,4602346.01350818,3.89446498314372,4.79852328281094
307529.460180516,4602346.01350818,3.85722146094601,4.78559138354302
307554.460180516,4602346.01350818,3.91438039635931,4.80696637281386
307579.460180516,4602346.01350818,3.88876411248282,4.81461027350572
307604.460180516,4602346.01350818,3.80118591612254,4.78615146974176
307629.460180516,4602346.01350818,3.78977552579106,4.77586129317936
307654.460180516,4602346.01350818,3.7849381994842,4.77494485387599
307679.460180516,4602346.01350818,3.80764578601605,4.78044641663506
307704.460180516,4602346.01350818,3.81029611946284,4.78040402643481
307729.460180516,4602346.01350818,3.78289813345699,4.76641401735582
307754.460180516,4602346.01350818,3.76714227275571,4.76289445059422
307779.460180516,4602346.01350818,3.76940524540804,4.76252483319186
307804.460180516,4602346.01350818,3.81415487462003,4.76871986752654
307829.460180516,4602346.01350818,3.88445911903754,4.79208775955606
307854.460180516,4602346.01350818,3.82706028436756,4.77423269848122
307079.460180516,4602371.01350818,3.62530179240606,4.94782734879465
307104.460180516,4602371.01350818,3.62081215819299,4.9269807576107
307129.460180516,4602371.01350818,3.60394558139508,4.93899600257604
307154.460180516,4602371.01350818,3.62615821783102,4.92835460929981
307179.460180516,4602371.01350818,3.74089194387995,4.92240258986225
307204.460180516,4602371.01350818,3.88524774919686,4.92624374872057
307229.460180516,4602371.01350818,3.90704336015669,4.95048141198467
307254.460180516,4602371.01350818,3.84971160379336,4.95392417083264
307279.460180516,4602371.01350818,3.74808330520651,4.93541920746708
307304.460180516,4602371.01350818,3.82300393738918,4.9528190118669
307329.460180516,4602371.01350818,3.87494768186582,4.95751308679613
307354.460180516,4602371.01350818,3.77715570673712,4.92888747095091
307379.460180516,4602371.01350818,3.64587694531726,4.90325605130904
307404.460180516,4602371.01350818,3.67469440513005,4.92474316030326
307429.460180516,4602371.01350818,3.67099622022036,4.90266288360953
307454.460180516,4602371.01350818,3.79143005709939,4.83918240310644
307479.460180516,4602371.01350818,3.88956713511387,4.78703258728644
307504.460180516,4602371.01350818,3.88848530019845,4.77589741427781
307529.460180516,4602371.01350818,3.85239614867334,4.77206330752894
307554.460180516,4602371.01350818,3.94510580333303,4.79807503255855
307579.460180516,4602371.01350818,3.9844964202084,4.82023806539646
307604.460180516,4602371.01350818,3.94092903676615,4.80700237663517
307629.460180516,4602371.01350818,3.82053289967876,4.77959271301719
307654.460180516,4602371.01350818,3.78991778253811,4.77176100058392
307679.460180516,4602371.01350818,3.76419227447861,4.76285956596384
307704.460180516,4602371.01350818,3.74643207629141,4.75806759781337
307729.460180516,4602371.01350818,3.78093419943771,4.76176993300231
307754.460180516,4602371.01350818,3.78159327365043,4.75866338806
307779.460180516,4602371.01350818,3.85305800223709,4.78056387891905
307804.460180516,4602371.01350818,3.80745474499222,4.76795855194975
307829.460180516,4602371.01350818,3.81077470032399,4.7681772038603
307854.460180516,4602371.01350818,3.79340003544019,4.76067574755271
307004.460180516,4602396.01350818,3.58509515588672,4.98259370824046
307029.460180516,4602396.01350818,3.57789283117864,4.98102425776706
307054.460180516,4602396.01350818,3.61083014302709,4.97225666160412
307079.460180516,4602396.01350818,3.59057823117046,4.94082180976541
307104.460180516,4602396.01350818,3.43981722019218,4.90517179886606
307129.460180516,4602396.01350818,3.39776497866111,4.90648387903566
